  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2208                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -0.500   0.1544   0.00561   0.00090  -0.0364   0.7153   0.4990
  -1.000   0.1043   0.00674   0.00109  -0.0369   0.7732   0.1140
  -1.500   0.0507   0.00689   0.00126  -0.0375   0.8244   0.0659
  -2.000  -0.0029   0.00705   0.00152  -0.0383   0.8695   0.0440
  -2.500  -0.0561   0.00735   0.00190  -0.0391   0.9054   0.0323
  -3.000  -0.1091   0.00772   0.00235  -0.0401   0.9345   0.0256
  -3.500  -0.1632   0.00823   0.00292  -0.0408   0.9573   0.0211
  -4.000  -0.2219   0.00899   0.00373  -0.0403   0.9757   0.0180
  -4.500  -0.2901   0.01004   0.00483  -0.0376   0.9865   0.0153
  -5.000  -0.3623   0.01100   0.00593  -0.0340   0.9919   0.0137
  -5.500  -0.4306   0.01250   0.00759  -0.0311   0.9962   0.0122
  -6.000  -0.4981   0.01436   0.00979  -0.0283   0.9989   0.0111
  -6.500  -0.5494   0.01609   0.01177  -0.0286   1.0000   0.0104
